Country,Area Code,Region,Level,Units,As Of,1Y Chg,5Y Ago,10Y Ago,25Y Ago,Life Expectancy,Health Expenditure,Adult Literacy Rate,,,,,,,
Finland,FIN,Europe,5439,1000,2013,0.47%,5339,5228,4964,80.63,"3,544.65",n.a.,,,,,,,
France,FRA,Europe,66028,1000,2013,0.54%,64703,62702,58114,82.57,"4,260.18",n.a.,,,,,,,
Gabon,GAB,Africa,1672,1000,2013,2.40%,1519,1347,921,63.07,558.24,82.28%,,,,,,,
Gambia,GMB,Africa,1849,1000,2013,3.24%,1628,1392,881,58.61,97.69,52.00%,,,,,,,
Georgia,GEO,Asia,4477,1000,2013,-0.31%,4411,4318,4803,73.94,560.73,99.74%,,,,,,,
Germany,DEU,Europe,80622,1000,2013,0.24%,81902,82516,78751,80.89,"4,616.98",n.a.,,,,,,,
Ghana,GHA,Africa,25905,1000,2013,2.12%,23692,20836,14233,60.95,105.93,71.50%,,,,,,,
Greece,GRC,Europe,11032,1000,2013,-0.54%,11187,11056,10089,80.63,"2,346.50",97.36%,,,,,,,
Grenada,GRD,North America,106,1000,2013,0.39%,104,103,97,72.61,690.93,96.00%,,,,,,,
Guatemala,GTM,North America,15468,1000,2013,2.56%,13989,12368,8688,71.66,345.86,78.26%,,,,,,,
Guinea,GIN,Asia,11745,1000,2013,2.57%,10593,9380,5751,55.84,67.29,25.31%,,,,,,,
Guinea-Bissau,GNB,Asia,1704,1000,2013,2.45%,1551,1391,995,54.03,65.78,56.74%,,,,,,,
Guyana,GUY,South America,800,1000,2013,0.53%,781,757,728,66.05,222.94,n.a.,,,,,,,
Haiti,HTI,North America,10317,1000,2013,1.41%,9765,9130,6965,62.7,83.7,48.69%,,,,,,,
Honduras,HND,North America,8098,1000,2013,2.04%,7470,6762,4767,73.49,353.84,85.36%,,,,,,,
Hong Kong,HKG,Asia,7188,1000,2013,0.46%,6973,6784,5686,83.48,n.a.,n.a.,,,,,,,
Hungary,HUN,Europe,9897,1000,2013,-0.23%,10023,10107,10482,75.06,"1,729.27",99.37%,,,,,,,
Iceland,ISL,Europe,323,1000,2013,0.71%,318,292,253,82.92,"3,435.86",n.a.,,,,,,,
India,IND,Asia,1252140,1000,2013,1.25%,1190138,1110626,851375,66.21,156.85,62.75%,,,,,,,
Indonesia,IDN,Asia,249866,1000,2013,1.22%,237487,221294,175461,70.61,150.11,92.81%,,,,,,,
Iran,IRN,Asia,77447,1000,2013,1.34%,73543,69342,54938,73.76,"1,562.24",84.28%,,,,,,,
Iraq,IRQ,Asia,33417,1000,2013,2.58%,30163,26674,17074,69.24,148.93,79.00%,,,,,,,
Ireland,IRL,Europe,4595,1000,2013,0.18%,4535,4070,3511,80.9,"3,529.16",n.a.,,,,,,,
Israel,ISR,Asia,8059,1000,2013,1.88%,7486,6809,4518,81.7,"2,238.81",97.76%,,,,,,,
Italy,ITA,Europe,59831,1000,2013,0.49%,59095,57685,56672,82.94,"3,040.08",99.03%,,,,,,,
Ivory Coast,CIV,Africa,20316,1000,2013,2.40%,18601,17144,11711,50.4,144.05,40.98%,,,,,,,
Jamaica,JAM,North America,2715,1000,2013,0.27%,2681,2634,2375,73.28,460.73,87.48%,,,,,,,
Japan,JPN,Asia,127339,1000,2013,-0.17%,127558,127761,123116,83.1,"3,577.67",n.a.,,,,,,,
Jordan,JOR,Asia,6459,1000,2013,2.23%,5915,5290,3056,73.75,483.39,97.89%,,,,,,,
Kazakhstan,KAZ,Asia,17038,1000,2013,1.47%,16093,15013,16250,69.61,607.56,99.69%,,,,,,,
Kenya,KEN,Africa,44354,1000,2013,2.72%,39825,34835,22667,61.08,83.51,87.38%,,,,,,,
Kiribati,KIR,Oceania,102,1000,2013,1.55%,96,89,69,68.53,263.73,n.a.,,,,,,,
Kosovo,KSV,Europe,1824,1000,2013,0.93%,1761,1705,1827,70.5,n.a.,n.a.,,,,,,,
Kuwait,KWT,Asia,3369,1000,2013,3.63%,2850,2196,2059,74.36,"1,376.66",95.51%,,,,,,,
Kyrgyzstan,KGZ,Asia,5720,1000,2013,2.00%,5383,5105,4308,70,175.13,99.24%,,,,,,,
Laos,LAO,Asia,6770,1000,2013,1.86%,6268,5699,4123,67.81,84.37,72.70%,,,,,,,
Latvia,LVA,Europe,2013,1000,2013,-1.03%,2142,2263,2667,73.78,"1,188.06",99.90%,,,,,,,
Lebanon,LBN,Asia,4467,1000,2013,0.96%,4247,3854,2677,79.85,"1,015.63",89.61%,,,,,,,
Lesotho,LSO,Africa,2074,1000,2013,1.12%,1990,1912,1570,48.84,226.78,89.65%,,,,,,,
Liberia,LBR,Africa,4294,1000,2013,2.47%,3821,3185,2137,60.21,101.65,60.78%,,,,,,,
Libya,LBY,Africa,6202,1000,2013,0.76%,5964,5507,4161,75.18,439.07,89.88%,,,,,,,
Lithuania,LTU,Europe,2956,1000,2013,-1.06%,3163,3377,3684,73.86,"1,426.27",99.82%,,,,,,,
Luxembourg,LUX,Europe,543,1000,2013,2.31%,498,458,377,81.39,"6,340.61",n.a.,,,,,,,
Macedonia,MKD,Europe,2107,1000,2013,0.08%,2101,2086,2006,75.03,834.94,97.54%,,,,,,,
Madagascar,MDG,Africa,22925,1000,2013,2.83%,20496,17763,11206,64.25,39.86,64.48%,,,,,,,
Malawi,MWI,Africa,16363,1000,2013,2.87%,14573,12569,9105,54.72,82.58,61.31%,,,,,,,
Malaysia,MYS,Asia,29717,1000,2013,1.63%,27790,25365,17707,74.84,676.31,93.12%,,,,,,,
Maldives,MDV,Oceania,345,1000,2013,1.94%,320,293,210,77.57,770.86,98.40%,,,,,,,
Mali,MLI,Africa,15302,1000,2013,3.02%,13559,11573,7826,54.6,73.75,33.56%,,,,,,,
Malta,MLT,Europe,423,1000,2013,0.91%,412,401,351,80.75,"2,547.73",92.36%,,,,,,,
Mauritania,MRT,Africa,3890,1000,2013,2.47%,3516,3055,1969,61.35,121.66,58.61%,,,,,,,
Mauritius,MUS,Africa,1296,1000,2013,0.40%,1275,1233,1049,73.57,784.21,89.25%,,,,,,,
Mexico,MEX,North America,122332,1000,2013,1.23%,116423,109382,84327,77.14,"1,061.87",94.23%,,,,,,,
Moldova,MDA,Europe,3559,1000,2013,-0.01%,3566,3604,3681,68.69,490.27,99.07%,,,,,,,
Mongolia,MNG,Asia,2839,1000,2013,1.52%,2672,2496,2141,67.34,344.93,97.36%,,,,,,,
Montenegro,MNE,Europe,621,1000,2013,0.05%,619,615,612,74.65,"1,018.76",98.44%,,,,,,,
Morocco,MAR,Africa,33008,1000,2013,1.50%,31277,29856,24212,70.64,340.38,67.08%,,,,,,,
Mozambique,MOZ,Africa,25834,1000,2013,2.50%,23361,20439,13395,49.84,65.76,56.11%,,,,,,,
Myanmar,MMR,Asia,53259,1000,2013,0.87%,51540,49875,41445,64.93,24.72,92.63%,,,,,,,
Namibia,NAM,Africa,2303,1000,2013,1.94%,2143,2003,1361,63.88,618.71,88.75%,,,,,,,
Nepal,NPL,Asia,27797,1000,2013,1.18%,26545,24922,17680,67.98,80,57.37%,,,,,,,
Netherlands,NLD,Europe,16804,1000,2013,0.29%,16530,16282,14849,81.1,"5,384.61",n.a.,,,,,,,
New Zealand,NZL,Oceania,4471,1000,2013,0.85%,4316,4088,3299,81.16,"3,291.75",n.a.,,,,,,,
Nicaragua,NIC,North America,6080,1000,2013,1.48%,5743,5386,4046,74.47,335.3,78.00%,,,,,,,
Niger,NER,Africa,17831,1000,2013,3.93%,15303,12709,7520,57.97,44.24,15.46%,,,,,,,
Nigeria,NGA,Africa,173615,1000,2013,2.83%,155381,135999,93180,52.11,161.4,61.34%,,,,,,,
North Korea,PRK,Asia,24895,1000,2013,0.53%,24372,23639,19895,69.5,n.a.,100.00%,,,,,,,
Norway,NOR,Europe,5084,1000,2013,1.31%,4829,4592,4227,81.45,"5,970.32",n.a.,,,,,,,
Oman,OMN,Asia,3632,1000,2013,9.61%,2663,2464,1743,76.59,810.41,86.94%,,,,,,,
Pakistan,PAK,Asia,182143,1000,2013,1.66%,170094,155151,107865,66.44,90.56,54.74%,,,,,,,
Panama,PAN,North America,3864,1000,2013,1.63%,3616,3303,2435,77.37,"1,260.38",94.09%,,,,,,,
Papua New Guinea,PNG,Oceania,7321,1000,2013,2.15%,6705,5948,4057,62.3,150.79,62.88%,,,,,,,
Paraguay,PRY,South America,6802,1000,2013,1.72%,6347,5793,4139,72.19,633.44,93.87%,,,,,,,
Peru,PER,South America,30376,1000,2013,1.29%,28934,27404,21326,74.52,554.58,93.84%,,,,,,,
Philippines,PHL,Asia,98394,1000,2013,1.74%,91886,84231,60410,68.55,202.51,95.42%,,,,,,,
Poland,POL,Europe,38531,1000,2013,-0.01%,38152,38182,37962,76.8,"1,489.25",99.75%,,,,,,,
Portugal,PRT,Europe,10460,1000,2013,-0.52%,10568,10484,10005,80.37,"2,399.75",94.48%,,,,,,,
Qatar,QAT,Asia,2169,1000,2013,5.76%,1564,720,463,78.45,"1,804.57",96.68%,,,,,,,
Romania,ROM,Europe,19964,1000,2013,-0.56%,20367,21452,23161,74.56,872.86,98.60%,,,,,,,
Russia,RUS,Asia,143500,1000,2013,0.22%,141909,143821,147721,70.46,"1,473.83",99.68%,,,,,,,
Rwanda,RWA,Africa,11777,1000,2013,2.78%,10530,9254,7224,63.49,144.34,65.85%,,,,,,,
Saint Kitts and Nevis,KNA,South America,54,1000,2013,1.13%,52,48,41,71.34,"1,064.73",n.a.,,,,,,,
Saint Lucia,LCA,South America,182,1000,2013,0.78%,175,163,136,74.67,944.87,n.a.,,,,,,,
Saint Vincent and the Grenadines,VCT,South America,109,1000,2013,0.00%,109,109,107,72.4,573.36,n.a.,,,,,,,
Samoa,WSM,Oceania,190,1000,2013,0.79%,185,179,162,72.98,308.14,98.86%,,,,,,,
San Marino,SMR,Europe,31,1000,2013,0.64%,31,29,24,83.32,"3,735.65",n.a.,,,,,,,
Sao Tome and Principe,STP,Oceania,193,1000,2013,2.60%,173,151,115,66.13,144.3,89.19%,,,,,,,
Saudi Arabia,SAU,Asia,28829,1000,2013,1.91%,26796,23839,15665,75.5,"1,003.60",94.43%,,,,,,,
Senegal,SEN,Africa,14133,1000,2013,2.97%,12587,10968,7285,63.2,96.49,52.05%,,,,,,,
Serbia,SRB,Europe,7164,1000,2013,-0.49%,7321,7463,n.a.,75.23,"1,249.78",98.16%,,,,,,,
Seychelles,SYC,Africa,89,1000,2013,0.99%,87,82,69,72.72,"1,196.68",91.84%,,,,,,,
Sierra Leone,SLE,Africa,6092,1000,2013,1.90%,5641,4928,3993,45.33,204.94,44.46%,,,,,,,
Singapore,SGP,Asia,5399,1000,2013,1.63%,4988,4167,2931,82.14,"2,880.57",96.37%,,,,,,,
Slovak Republic,SVK,Europe,5414,1000,2013,0.12%,5386,5372,5276,76.11,"1,976.79",n.a.,,,,,,,
